Country,GDP_per_Capita,Population,CO2_Emissions,Renewable_Energy,REP,CO2P
Afghanistan,1896.99252,38928346,165488185,1071,2.75121E-05,4.25109726
Albania,11868.179,2877797,270898982,7784,0.002704847,94.13415262
Algeria,15036.3642,43851044,3957318519,430.5,9.81733E-06,90.24456793
Angola,6756.93507,32866272,588372383,7282,0.000221565,17.90201161
Antigua and Barbuda,23670.3023,97929,21191421,5.5,5.61631E-05,216.3957663
Argentina,20130.408,45195774,7773049963,31700,0.000701393,171.9862119
Armenia,8808.57271,2963243,268075480,2354,0.0007944,90.46692424
Australia,47305.88,25499884,1.69E+10,37205,0.001459026,664.6304744
Austria,51809.5136,9006398,5233771592,50772,0.005637326,581.1170672
Azerbaijan,17417.0867,10139177,2433570604,2192,0.000216191,240.0165816
Bahamas,30863.2669,393244,154892395,1.9,4.83161E-06,393.8836829
Bahrain,47215.7862,1701575,792074360,9.5,5.58306E-06,465.4948269
Bangladesh,3696.77619,164689383,1273089719,1183,7.18322E-06,7.730247669
Barbados,17947.9633,287375,50183850,29.6,0.000103001,174.6284472
Belarus,18098.4229,9449323,3996748059,392,4.14845E-05,422.966604
Belgium,47855.4902,11589623,1.22E+10,14168,0.001222473,1048.955605
Belize,8242.62959,397628,16601391,383.1,0.000963463,41.75106129
Benin,2169.75581,12123200,91290139,11.2,9.23848E-07,7.530201514
Bhutan,9392.25787,771608,12596312,7962,0.010318711,16.32475558
Bolivia,7147.83921,11673021,440425242,1937,0.000165938,37.73018501
Bosnia and Herzegovina,12824.0361,3280819,812823467,5591,0.001704148,247.7501706
Botswana,17314.7744,2351627,123677461,4.3,1.82852E-06,52.59229504
Brazil,15331.5485,212559417,1.37E+10,465579,0.002190348,64.52313519
Brunei,78134.6665,437479,325743772,1.6,3.65732E-06,744.5929336
Bulgaria,19500.3295,6948445,3654214655,1.1,1.58309E-07,525.9039476
Burkina Faso,1772.84828,20903273,46883100,7106,0.000339947,2.242859288
Burundi,743.903598,11890784,10199110,157.1,1.32119E-05,0.857732341
Côte d'Ivoire,3665.55049,26378274,291688755,284,1.07664E-05,11.05791664
Cabo Verde,6709.10992,555987,10972669,74.7,0.000134356,19.73547763
Cambodia,3742.95879,16718965,97286972,2641,0.000157964,5.818959009
Cameroon,3546.54456,26545863,187079087,4385,0.000165186,7.047391415
Canada,45011.6432,37742154,3.13E+10,433597,0.011488401,830.3977563
Central African Republic,780.905533,4829767,11137328,171.7,3.55504E-05,2.305976251
Chad,2012.81732,16425864,13681353,9.2,5.60092E-07,0.832915273
Chile,22874.1494,19116201,2572896035,34319,0.001795283,134.5924347
