latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
-21.26877,120.16893,367,0.49,0.4,2/8/19,553,N,VIIRS,h,1,350.9,203.1,0
-17.23654,123.81821,367,0.62,0.72,1/8/19,613,N,VIIRS,h,1,317,157.5,0
-17.23792,123.81226,367,0.62,0.71,1/8/19,613,N,VIIRS,h,1,328,157.5,0
-15.41549,142.38728,335.1,0.42,0.38,2/8/19,413,N,VIIRS,n,1,296.8,120.3,0
-16.07612,125.91381,367,0.38,0.59,1/8/19,433,N,VIIRS,h,1,304.3,117.2,0
-21.26712,120.17835,339.5,0.49,0.4,2/8/19,553,N,VIIRS,n,1,309.3,104.4,0
-12.16301,135.52046,346.8,0.39,0.36,1/8/19,433,N,VIIRS,l,1,321.7,103.2,0
-14.16367,130.65596,367,0.36,0.58,2/8/19,414,N,VIIRS,h,1,306,103,0
-17.24009,123.81618,351.8,0.62,0.72,1/8/19,613,N,VIIRS,l,1,332.2,101,0
-17.23349,123.81462,367,0.62,0.72,1/8/19,613,N,VIIRS,h,1,308.2,101,0
-17.23874,123.82217,367,0.62,0.72,1/8/19,613,N,VIIRS,h,1,307.9,101,0
-15.17418,129.92091,352.2,0.41,0.45,1/8/19,433,N,VIIRS,n,1,310.4,97.8,0
-16.07769,125.89943,208,0.38,0.59,1/8/19,433,N,VIIRS,l,1,322.7,91.4,0
-16.07808,125.89585,351,0.38,0.59,1/8/19,433,N,VIIRS,l,1,328,91.4,0
-14.63967,130.64911,367,0.37,0.58,2/8/19,414,N,VIIRS,h,1,303.9,89.2,0
-11.48661,130.24336,352.5,0.53,0.42,1/8/19,434,N,VIIRS,n,1,308.8,88,0
-11.49047,130.2439,367,0.53,0.42,1/8/19,434,N,VIIRS,l,1,327.2,88,0
-13.29514,142.01607,344.9,0.51,0.5,1/8/19,433,N,VIIRS,n,1,311.7,87.7,0
-13.98321,131.24452,351.2,0.5,0.41,1/8/19,433,N,VIIRS,n,1,307.6,86.5,0
-17.24143,123.8102,208,0.62,0.72,1/8/19,613,N,VIIRS,l,1,308.4,85.5,0
-17.23483,123.80864,343.5,0.62,0.72,1/8/19,613,N,VIIRS,n,1,307.4,85.5,0
-33.79993,120.78506,342.6,0.57,0.43,1/8/19,608,N,VIIRS,n,1,296.7,85.1,0
-33.79471,120.79009,338.8,0.57,0.43,1/8/19,608,N,VIIRS,n,1,303.4,85.1,0
-20.78633,119.43118,367,0.56,0.52,1/8/19,612,N,VIIRS,h,1,319.5,79.7,0
-15.18791,131.33392,349.3,0.34,0.56,2/8/19,414,N,VIIRS,n,1,303.5,76.5,0
-11.65016,130.36105,354.9,0.52,0.42,1/8/19,434,N,VIIRS,n,1,310.1,75.8,0
-11.64631,130.3605,347,0.52,0.42,1/8/19,434,N,VIIRS,l,1,321.6,75.8,0
-11.64697,130.35568,347.3,0.52,0.42,1/8/19,434,N,VIIRS,n,1,313.9,75.8,0
-15.1931,131.33463,367,0.34,0.56,2/8/19,414,N,VIIRS,h,1,307.2,73.7,0
-11.65652,130.37186,367,0.52,0.42,1/8/19,434,N,VIIRS,h,1,312.5,72.5,0
-11.65718,130.36702,367,0.52,0.42,1/8/19,434,N,VIIRS,l,1,326.6,72.5,0
-11.65334,130.36644,350.3,0.52,0.42,1/8/19,434,N,VIIRS,n,1,317.4,72.5,0
-14.16864,130.65987,367,0.36,0.57,2/8/19,414,N,VIIRS,h,1,304.7,72.1,0
-14.1744,130.65709,340,0.36,0.58,2/8/19,414,N,VIIRS,n,1,302.5,72.1,0
