year,maximum temperature (degC),sum,STE
1910,53815.2,2740,2
1911,56347.3,2896,2
1912,56942.4,2878,2
1913,61862.3,3144,2
1914,64886.6,3108,2
1915,60236.5,3096,2
1916,58468.3,3024,2
1917,59873.3,3134,2
1918,61064.2,3090,2
1919,62991.6,3083,2
1920,60134.2,3075,2
1921,63934.5,3129,2
1922,61729.4,3105,2
1923,61854,3124,2
1924,58404.8,3105,2
1925,57400.2,2977,2
1926,61384.6,3088,2
1927,58749.6,2932,2
1928,59674.5,2996,2
1929,59152.5,3099,2
1930,60998.3,3023,2
1931,56626.3,2961,2
1932,58702.8,3009,2
1933,59434.1,3038,2
1934,61975.6,3079,2
1935,59678.6,3080,2
1936,59971,3065,2
1937,60964.8,3082,2
1938,69829.1,3429,2
1939,67022.7,3416,2
1940,69384.8,3434,2
1941,67142.3,3444,2
1942,68386.6,3443,2
1943,67057.2,3519,2
1944,74637.5,3811,2
1945,73311.4,3810,2
1946,70308.6,3727,2
1947,73063.1,3717,2
1948,72566.5,3790,2
1949,65791.1,3535,2
1950,75850,3863,2
1951,73100.5,3671,2
1952,73974.3,3887,2
1953,76626.2,3908,2
1954,75295,3814,2
1955,75797.4,3908,2
1956,71297.4,3787,2
1957,73387.7,3711,2
1958,73614.6,3838,2
1959,74766.6,3714,2
1960,62179.4,3257,2
1961,65667.8,3261,2
1962,71173.1,3584,2
1963,67426.4,3425,2
1964,68259.9,3565,2
1965,77887.1,3889,2
1966,75555.7,3877,2
1967,80520.3,3983,2
1968,79632.8,3994,2
1969,77930.4,3974,2
1970,73907.2,3805,2
1971,78551.7,3972,2
1972,81904.5,4002,2
1973,79529.9,3987,2
1974,77029.1,3953,2
1975,79431.3,3965,2
1976,77802.1,3943,2
1977,79320.8,3982,2
1978,77854.4,3994,2
1979,80884,3988,2
1980,82415.4,3986,2
1981,80767,3967,2
1982,82817.3,3986,2
1983,79236.1,4000,2
1984,78082.6,3997,2
1985,79385.6,3997,2
1986,77652.2,4003,2
1987,79364.6,3994,2
1988,83206.1,4015,2
1989,79757.7,4006,2
1990,81641.5,4014,2
1991,80681.3,4008,2
1992,76892.7,4021,2
1993,80174.9,4006,2
1994,79309.6,3945,2
1995,75463.8,3930,2
1996,75550.9,3905,2
1997,81345.3,3988,2
1998,80233.3,3981,2
1999,81618.2,3972,2
2000,81842.6,3988,2
2001,81327.6,3988,2
2002,82599.9,3991,2
2003,81255.3,3995,2
2004,80762.7,4006,2
2005,83620.3,4009,2
2006,82234.8,3967,2
2007,84367.5,3970,2
2008,81831.3,3998,2
2009,84927.1,4009,2
2010,81490.8,4008,2
2011,80800.4,3984,2
2012,81644.2,3988,2
2013,84489.7,3987,2
2014,85355.6,4000,2
2015,82789.6,3982,2
2016,82822.7,3984,2
2017,83056.5,3941,2
2018,84456.4,3958,2
2019,83965.1,3944,2
1910,97996.6,4202,1
1911,98946,4294,1
1912,111878.4,4624,1
1913,113634,4871,1
1914,121925.2,4956,1
1915,120884.4,5024,1
1916,114742.6,5016,1
1917,110259.6,4914,1
1918,112443.1,4800,1
1919,123407.1,5019,1
1920,114295.1,5004,1
1921,121214.5,5189,1
1922,121943.8,5017,1
1923,123898.2,5165,1
1924,121285.9,5315,1
1925,122107.9,5247,1
1926,127614.8,5372,1
1927,125484.2,5380,1
1928,125432.8,5249,1
1929,124332.6,5324,1
1930,125460.4,5366,1
1931,123437.5,5409,1
1932,126253.4,5381,1
1933,124653.4,5394,1
1934,124060.9,5382,1
1935,122099.7,5269,1
